小二:	!~没一个都没,,,
至尊宝:	/如梦人生 来
紫霞:	@攻击方式
紫霞:	@攻击方式
紫霞:	@攻击方式
紫霞:	@攻击方式
紫霞:	@攻击方式
如梦人生:	药带点来
至尊宝:	什么药
如梦人生:	100红 100蓝
如梦人生:	马上35呢 
紫霞:	@卡位自救
至尊宝:	道士卡了
如梦人生:	那我要回去买药了
至尊宝:	==
至尊宝:	拿
至尊宝:	@复活回城
至尊宝:	@复活回城
至尊宝:	.。
如梦人生:	帮我带点饺子倍
至尊宝:	等
如梦人生:	@拒绝天地合一
至尊宝:	!!好多
如梦人生:	!!  那我回去先
如梦人生:	顺便买药
至尊宝:	!!速度来
如梦人生:	!!  顺便买药
如梦人生:	@复活回城
如梦人生:	@骑马
如梦人生:	@骑马
小二:	@包马
至尊宝:	@骑马
如梦人生:	副
至尊宝:	@包马
至尊宝:	@骑马
至尊宝:	/老倪 
至尊宝:	!!我34了，我去打书
至尊宝:	@骑马
如梦人生:	@复活回城
如梦人生:	@骑马
至尊宝:	/老倪 
如梦人生:	!!冰咆哮么?
至尊宝:	!!没
如梦人生:	!!  我有
至尊宝:	!!额。。
至尊宝:	!!火墙有么
如梦人生:	!!  没
如梦人生:	!!  移形换位 打到留给我一个
至尊宝:	!!好
至尊宝:	@骑马
如梦人生:	@包马
如梦人生:	@骑马
至尊宝:	@骑马
至尊宝:	@骑马
至尊宝:	@骑马
至尊宝:	@包马
至尊宝:	@骑马
至尊宝:	@包马
至尊宝:	@骑马
至尊宝:	!!打到38级最好去买个破冰次
至尊宝:	!!升级快多了
至尊宝:	@骑马
至尊宝:	@包马
如梦人生:	!!  可我只有100W 啊
至尊宝:	!!去猪洞打
如梦人生:	!!  打了钱天都亮了 没时间升级了
至尊宝:	!!。。。
如梦人生:	!!  要不借我点 明天打来还你?  哈哈
至尊宝:	!!我还90多W
如梦人生:	!!  那暂时就这样吧,下线后经验就低了
至尊宝:	!!这样啊。。。
至尊宝:	!!你打个怪多少经验
至尊宝:	@骑马
如梦人生:	!!28699--33800
至尊宝:	!!那么多
至尊宝:	/如梦人生 
至尊宝:	/如梦人生 我晕
如梦人生:	!~  我曹
如梦人生:	/至尊宝 你掉线没?
至尊宝:	/如梦人生 没。。
如梦人生:	/至尊宝 晕,鸭子搞我?
至尊宝:	/如梦人生 。。。
至尊宝:	/如梦人生 这掉线蛋疼了
如梦人生:	/至尊宝 我抄  现在只有13000经验了  开始33800的
至尊宝:	/如梦人生 汗
如梦人生:	/至尊宝 开始所有加起来6.5倍  现在只有2.5倍了
至尊宝:	/如梦人生 额
如梦人生:	/至尊宝 准备睡觉了 我晕了
至尊宝:	/如梦人生 。。。
紫霞:	@骑马
如梦人生:	@骑马
如梦人生:	/小二 
如梦人生:	@包马
至尊宝:	@骑马
至尊宝:	/小二 
小二:	/至尊宝 
至尊宝:	/小二 你半夜起来玩？
小二:	/至尊宝 我是 砍死算求
至尊宝:	/小二 。。。
小二:	/至尊宝 就刚才那个小法师
至尊宝:	/小二 我晕
小二:	/至尊宝 ?
至尊宝:	/小二 你怎么玩法师。。。
至尊宝:	/小二 我才知道是你。。
小二:	/至尊宝 没事搞着玩玩,看看不下线是啥状况
至尊宝:	/小二 。。。
小二:	/至尊宝 那个快马加鞭一直都是1级时候的状态
至尊宝:	/小二 难不成你想一直不下线？
小二:	/至尊宝 是啊
至尊宝:	/小二 不太可能
小二:	/至尊宝 周末可以试试
至尊宝:	/小二 。。
小二:	/至尊宝 带10个小号到40级啊 每天领取200W钱 多好
至尊宝:	/小二 什么情况
小二:	/至尊宝 40级签到
至尊宝:	/小二 哈哈
小二:	/至尊宝 睡觉了 没得玩
至尊宝:	/小二 嗯哪，晚安
小二:	/至尊宝 88
至尊宝:	/小二 88
如梦人生:	@骑马
如梦人生:	@包马
紫霞:	@骑马
紫霞:	@骑马
如梦人生:	离婚好多钱?
紫霞:	500W
如梦人生:	各500?
紫霞:	yigong 
紫霞:	我睡觉了
如梦人生:	嗯
紫霞:	晚安哈
如梦人生:	88
紫霞:	88
如梦人生:	我也下了
如梦人生:	@骑马
老倪:	@日志
老倪:	@日志
老倪:	@攻击方式
9527:	@攻击方式
9527:	@攻击方式
9527:	@攻击方式
9527:	@攻击方式
9527:	@骑马
9527:	@日志2
老倪:	@复活回城
萌太奇:	@骑马
萌太奇:	@包马
魔力虾:	@骑马
小二:	@骑马
小二:	@骑马
小二:	@日志2
十佳矿工:	/一棍括死 
一棍括死:	@骑马
周嘿呀:	@休息
十佳矿工:	@卡位自救
十佳矿工:	@休息
一棍括死:	@包马
一棍括死:	@骑马
一棍括死:	@包马
一棍括死:	@骑马
一棍括死:	@骑马
